分类,机动战士高达,手办,mon_202509,动画,海贼王,NGA,漫画,假面骑士,咒术回战,游戏,加布,高达,模型,鬼灭之刃,夏亚,女主,角色,魔裁,VTuber,奥特曼
游戏,19,0,7,2,1,12,0,5,0,26,2,2,2,2,5,2,9,10,3,2
其他,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0
动画/番剧,69,2,56,55,38,27,6,29,32,4,27,19,2,25,20,19,12,12,4,18
漫画,0,0,4,1,10,2,31,3,4,1,0,0,0,1,2,5,2,1,0,0
音乐/歌曲,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0
手办/周边,2,73,1,0,1,0,0,0,0,0,0,8,23,0,0,0,1,0,3,1
轻小说,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
虚拟主播/VTuber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
动漫/游戏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7. 音乐/歌曲,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
